t concentration bin0 bin1 bin2 bin3 bin4 bin5 bin6 bin7 bin8 bin9
0.168758 0 10000 0 0 0 0 0 0 0 0 0
0.168962 0 10000 0 0 0 0 0 0 0 0 0
0.169166 0 10000 0 0 0 0 0 0 0 0 0
0.16937 0 10000 0 0 0 0 0 0 0 0 0
0.169575 0 10000 0 0 0 0 0 0 0 0 0
0.169779 0 10000 0 0 0 0 0 0 0 0 0
0.169983 0 10000 0 0 0 0 0 0 0 0 0
0.170187 0 10000 0 0 0 0 0 0 0 0 0
0.170391 0 10000 0 0 0 0 0 0 0 0 0
0.170595 0 10000 0 0 0 0 0 0 0 0 0
0.170799 0 10000 0 0 0 0 0 0 0 0 0
0.171003 0 10000 0 0 0 0 0 0 0 0 0
0.171207 0 10000 0 0 0 0 0 0 0 0 0
0.171411 0 10000 0 0 0 0 0 0 0 0 0
0.171615 0 10000 0 0 0 0 0 0 0 0 0
0.171819 0 10000 0 0 0 0 0 0 0 0 0
0.172023 0 10000 0 0 0 0 0 0 0 0 0
0.172227 0 10000 0 0 0 0 0 0 0 0 0
0.172431 0 10000 0 0 0 0 0 0 0 0 0
0.172635 0 10000 0 0 0 0 0 0 0 0 0
0.17284 0 10000 0 0 0 0 0 0 0 0 0
0.173044 0 10000 0 0 0 0 0 0 0 0 0
0.173248 0 10000 0 0 0 0 0 0 0 0 0
0.173452 0 10000 0 0 0 0 0 0 0 0 0
0.173656 0 10000 0 0 0 0 0 0 0 0 0
0.17386 0 10000 0 0 0 0 0 0 0 0 0
0.174064 0 10000 0 0 0 0 0 0 0 0 0
0.174268 0 10000 0 0 0 0 0 0 0 0 0
0.174472 0 10000 0 0 0 0 0 0 0 0 0
0.174676 0 10000 0 0 0 0 0 0 0 0 0
0.17488 0 10000 0 0 0 0 0 0 0 0 0
0.175084 0 10000 0 0 0 0 0 0 0 0 0
0.175288 0 10000 0 0 0 0 0 0 0 0 0
0.175492 0 10000 0 0 0 0 0 0 0 0 0
0.175696 0 10000 0 0 0 0 0 0 0 0 0
0.1759 0 10000 0 0 0 0 0 0 0 0 0
0.176104 0 10000 0 0 0 0 0 0 0 0 0
0.176309 0 10000 0 0 0 0 0 0 0 0 0
0.176513 0 10000 0 0 0 0 0 0 0 0 0
0.176717 0 10000 0 0 0 0 0 0 0 0 0
0.176921 0 10000 0 0 0 0 0 0 0 0 0
0.177125 0 10000 0 0 0 0 0 0 0 0 0
0.177329 0 10000 0 0 0 0 0 0 0 0 0
0.177533 0 10000 0 0 0 0 0 0 0 0 0
0.177737 0 10000 0 0 0 0 0 0 0 0 0
0.177941 0 10000 0 0 0 0 0 0 0 0 0
0.178145 0 10000 0 0 0 0 0 0 0 0 0
0.178349 0 10000 0 0 0 0 0 0 0 0 0
0.178553 0 10000 0 0 0 0 0 0 0 0 0
0.178757 0 10000 0 0 0 0 0 0 0 0 0
0.178961 0 10000 0 0 0 0 0 0 0 0 0
0.179165 0 10000 0 0 0 0 0 0 0 0 0
0.179369 0 10000 0 0 0 0 0 0 0 0 0
0.179574 0 10000 0 0 0 0 0 0 0 0 0
0.179778 0 10000 0 0 0 0 0 0 0 0 0
0.179982 0 10000 0 0 0 0 0 0 0 0 0
0.180186 0 10000 0 0 0 0 0 0 0 0 0
0.18039 0 10000 0 0 0 0 0 0 0 0 0
0.180594 0 10000 0 0 0 0 0 0 0 0 0
0.180798 0 10000 0 0 0 0 0 0 0 0 0
0.181002 0 10000 0 0 0 0 0 0 0 0 0
0.181206 0 10000 0 0 0 0 0 0 0 0 0
0.18141 0 10000 0 0 0 0 0 0 0 0 0
0.181614 0 10000 0 0 0 0 0 0 0 0 0
0.181818 0 10000 0 0 0 0 0 0 0 0 0
0.182022 0 10000 0 0 0 0 0 0 0 0 0
0.182226 0 10000 0 0 0 0 0 0 0 0 0
0.18243 0 10000 0 0 0 0 0 0 0 0 0
0.182634 0 10000 0 0 0 0 0 0 0 0 0
0.182838 0 10000 0 0 0 0 0 0 0 0 0
0.183043 0 10000 0 0 0 0 0 0 0 0 0
0.183247 0 10000 0 0 0 0 0 0 0 0 0
0.183451 0 10000 0 0 0 0 0 0 0 0 0
0.183655 0 10000 0 0 0 0 0 0 0 0 0
0.183859 0 10000 0 0 0 0 0 0 0 0 0
0.184063 0 10000 0 0 0 0 0 0 0 0 0
0.184267 0 10000 0 0 0 0 0 0 0 0 0
0.184471 0 10000 0 0 0 0 0 0 0 0 0
0.184675 0 10000 0 0 0 0 0 0 0 0 0
0.184879 0 10000 0 0 0 0 0 0 0 0 0
0.185083 0 10000 0 0 0 0 0 0 0 0 0
0.185287 0 10000 0 0 0 0 0 0 0 0 0
0.185491 0 10000 0 0 0 0 0 0 0 0 0
0.185695 0 10000 0 0 0 0 0 0 0 0 0
0.185899 0 10000 0 0 0 0 0 0 0 0 0
0.186103 0 10000 0 0 0 0 0 0 0 0 0
0.186308 0 10000 0 0 0 0 0 0 0 0 0
0.186512 0 10000 0 0 0 0 0 0 0 0 0
0.186716 0 10000 0 0 0 0 0 0 0 0 0
0.18692 0 10000 0 0 0 0 0 0 0 0 0
0.187124 0 10000 0 0 0 0 0 0 0 0 0
0.187328 0 10000 0 0 0 0 0 0 0 0 0
0.187532 0 10000 0 0 0 0 0 0 0 0 0
0.187736 0 10000 0 0 0 0 0 0 0 0 0
0.18794 0 10000 0 0 0 0 0 0 0 0 0
0.188144 0 10000 0 0 0 0 0 0 0 0 0
0.188348 0 10000 0 0 0 0 0 0 0 0 0
0.188552 0 10000 0 0 0 0 0 0 0 0 0
0.188756 0 10000 0 0 0 0 0 0 0 0 0
0.18896 0 10000 0 0 0 0 0 0 0 0 0
0.189164 0 10000 0 0 0 0 0 0 0 0 0
0.189368 0 10000 0 0 0 0 0 0 0 0 0
0.189572 0 10000 0 0 0 0 0 0 0 0 0
0.189777 0 10000 0 0 0 0 0 0 0 0 0
0.189981 0 10000 0 0 0 0 0 0 0 0 0
0.190185 0 10000 0 0 0 0 0 0 0 0 0
0.190389 0 10000 0 0 0 0 0 0 0 0 0
0.190593 0 10000 0 0 0 0 0 0 0 0 0
0.190797 0 10000 0 0 0 0 0 0 0 0 0
0.191001 0 10000 0 0 0 0 0 0 0 0 0
0.191205 0 10000 0 0 0 0 0 0 0 0 0
0.191409 0 10000 0 0 0 0 0 0 0 0 0
0.191613 0 10000 0 0 0 0 0 0 0 0 0
0.191817 0 10000 0 0 0 0 0 0 0 0 0
0.192021 0 10000 0 0 0 0 0 0 0 0 0
0.192225 0 10000 0 0 0 0 0 0 0 0 0
0.192429 0 10000 0 0 0 0 0 0 0 0 0
0.192633 0 10000 0 0 0 0 0 0 0 0 0
0.192837 0 10000 0 0 0 0 0 0 0 0 0
0.193042 0 10000 0 0 0 0 0 0 0 0 0
0.193246 0 10000 0 0 0 0 0 0 0 0 0
0.19345 0 10000 0 0 0 0 0 0 0 0 0
0.193654 0 10000 0 0 0 0 0 0 0 0 0
0.193858 0 10000 0 0 0 0 0 0 0 0 0
0.194062 0 10000 0 0 0 0 0 0 0 0 0
0.194266 0 10000 0 0 0 0 0 0 0 0 0
0.19447 0 10000 0 0 0 0 0 0 0 0 0
0.194674 0 10000 0 0 0 0 0 0 0 0 0
0.194878 0 10000 0 0 0 0 0 0 0 0 0
0.195082 0 10000 0 0 0 0 0 0 0 0 0
0.195286 0 10000 0 0 0 0 0 0 0 0 0
0.19549 0 10000 0 0 0 0 0 0 0 0 0
0.195694 0 10000 0 0 0 0 0 0 0 0 0
